display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
Verde,Multimercados,True,22.187.946/0001-41,Verde Asset,,Formerly CSHG Verde; managed by Verde Asset Management,CSHG Verde,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Itaú Artax,Multimercados,True,42.698.615/0001-83,Itaú Asset,matched,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Absolute Vertex II,Multimercados,True,23.565.803/0001-99,Absolute Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Novus Macro,Multimercados,True,14.146.726/0001-41,Novus Capital,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Clave Alpha,Multimercados,True,37.319.496/0001-70,Clave Capital,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Kínitro 30,Multimercados,True,42.731.202/0001-53,Kínitro Capital,matched,,Kinitro 30,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Ace Capital,Multimercados,True,34.774.662/0001-30,Ace Capital,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Legacy Capital,Multimercados,True,32.320.730/0001-66,Legacy Capital,,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Ventor Hedge,Multimercados,True,07.088.369/0001-47,Ventor Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open per manual review (funds_subscription_status.xlsx); note: CVM legacy cad_fi shows SIT=CANCELADA for this CNPJ — fund likely migrated to a new legal vehicle or continues under a different registration
SPX Nimitz,Multimercados,True,22.345.384/0001-17,SPX Capital,,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Itaú Janeiro,Multimercados,True,52.116.227/0001-09,Itaú Asset,matched,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Occam Retorno Absoluto,Multimercados,True,17.162.002/0001-80,Occam Brasil,matched,Occam Retorno Absoluto FIC FIM,Occam Retorno,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Capstone Macro,Multimercados,True,35.726.908/0001-61,Capstone Partners,matched,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Vinland Macro Plus,Multimercados,True,30.593.439/0001-36,Vinland Capital,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Gávea Macro,Multimercados,True,08.893.082/0001-52,Gávea Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Kapitalo K10,Multimercados,True,29.726.133/0001-21,Kapitalo,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
XP Macro,Multimercados,True,23.922.063/0001-09,XP Asset,matched,Main XP Macro fund; distinct from XP Macro Plus and XP Macro Institucional,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Ibiuna Hedge STH,Multimercados,True,15.799.713/0001-34,Ibiuna,,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
